Title,Subtitle,Authors,Illustrators,Publishers,Publish Date,Pages,ISBN,EAN,ASIN,Genres,Languages,Dewey Decimal,LoC Call Number,Rating,Read,Condition,Location,Notes,Buy Price,Purchase Date,Cover Image URL,URL,UUID
Doctor Who - Remembrance of the Daleks,(Target Books),Ben Aaronovitch,,W. H. Allen & Co.,1990-12-01,144,0426203372,9780426203377,0426203372,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,,,33E1CEE9-274F-4CBD-AA5F-94C2BE6B9A0A
Doctor Who - Remembrance of the Daleks,(Target Books),Ben Aaronovitch,,W. H. Allen & Co.,1990-12-01,144,0426203372,9780426203377,0426203372,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,,,11954526-56B4-4CA4-B409-40E8B4F06414
Doctor Who - The Mark of the Rani,(Target Books),"Pip Baker
Jane Baker",,Target Book - W H Allen & Co,1986-06-11,144,0426202325,9780426202325,0426202325,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51Hxf8akK6L.jpg,,9C2A998E-D2F2-441E-A619-E513ECC9ABFD
Doctor Who - The Mark of the Rani,(Target Books),"Pip Baker
Jane Baker",,Target Book - W H Allen & Co,1986-06-11,144,0426202325,9780426202325,0426202325,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51Hxf8akK6L.jpg,,87FB3B45-91D4-42BE-866A-47D9D19808A3
Doctor Who Brain Teasers and Mind Benders,,Adrian Heath,,W. H. Allen Target,1984-11-15,128,0426198603,9780426198604,0426198603,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51O4aSpKUsL.jpg,,8BCC59B4-5E96-43C4-880B-6BCA2B7226E4
Doctor Who Brain Teasers and Mind Benders,,Adrian Heath,,W. H. Allen Target,1984-11-15,128,0426198603,9780426198604,0426198603,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51O4aSpKUsL.jpg,,6448EBC7-9624-458D-A8C7-91CC1E292D1C
Doctor Who The Romans,,Donald Cotton,,Dr Who,1987-04-15,144,049103833X,9780491038331,049103833X,Children's Books,"English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/31SKbkInxAL.jpg,,8678E60C-7FEC-465C-8B48-960EDB746708
Doctor Who The Romans,,Donald Cotton,,Lyle Stuart Hardcover,1987-09-30,144,049103833X,9780491038331,049103833X,Science Fiction & Fantasy,"English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/31SKbkInxAL.jpg,,4C2D9E2B-76D8-43A1-AFE4-B4DC874EFA48
Doctor Who The Romans,,Donald Cotton,,Dr Who,1987-04-15,144,049103833X,9780491038331,049103833X,Children's Books,"English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/31SKbkInxAL.jpg,,85619D84-780B-4544-BFAB-9D079B319F23
Doctor Who and an Unearthly Child,,Terrance Dicks,,Dr Who,1981-10-14,128,0426201442,9780426201441,0426201442,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51kS3Rlz2gL.jpg,,2E2514DE-6277-4D6A-9239-5F6C2DD4D631
Doctor Who and an Unearthly Child,,Terrance Dicks,,Dr Who,1981-10-14,128,0426201442,9780426201441,0426201442,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51kS3Rlz2gL.jpg,,BB7A8C48-DC3B-4DC2-BD74-3533BC5A136F
Doctor Who and the Abominable Snowmen,(Target adventure series),Terrance Dicks,,Universal-Tandem Publishing,1974-11-01,142,0426105834,9780426105831,0426105834,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,,,51B1A013-B694-44FD-9120-ACC4A43228F7
Doctor Who and the Abominable Snowmen,,Terrance Dicks,,TBS The Book Service Ltd,1974-11-01,142,0426105834,9780426105831,0426105834,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,,,F1CC6396-DC3A-4BBA-97E3-306D69CA0D56
Doctor Who and the Abominable Snowmen,(Target adventure series),Terrance Dicks,,Universal-Tandem Publishing,1974-11-01,142,0426105834,9780426105831,0426105834,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,,,C850324C-AB57-4C5B-B87F-A01CA601C77C
Doctor Who and the Auton Invasion,,Terrance Dicks,Chris Achilleos,Dr Who,1983-12-01,152,0426112954,9780426112952,0426112954,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51TtwfQXaBL.jpg,,C31E3662-B9B0-4D57-8D58-4B849D4E6B81
Doctor Who and the Auton Invasion,,Terrance Dicks,Chris Achilleos,Dr Who,1983-12-01,152,0426112954,9780426112952,0426112954,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51TtwfQXaBL.jpg,,5EC12EBE-E4EE-4123-974F-4BFF0A3F311C
Doctor Who and the Carnival of Monsters,(Doctor Who Library),Terrance Dicks,,Dr Who,1977-01-01,128,0426110250,9780426110255,0426110250,"Children's Books
Science Fiction
Music, Stage & Screen","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51ecC3EiwXL.jpg,,1239468D-DB4B-4370-A0A1-B895ECBA9CC1
Doctor Who and the Carnival of Monsters,(Doctor Who Library),Terrance Dicks,,Carol Pub Group,1993-08-31,128,0426110250,9780426110255,0426110250,"Children's Books
Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51ecC3EiwXL.jpg,,9B6D643A-9441-4A93-A8BC-86AE1587BCE5
Doctor Who and the Carnival of Monsters,(Doctor Who Library),Terrance Dicks,,Dr Who,1977-01-01,128,0426110250,9780426110255,0426110250,"Children's Books
Science Fiction
Music, Stage & Screen","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51ecC3EiwXL.jpg,,C41C3EEA-3F0E-4F54-AC2A-C578CD612992
Doctor Who and the Curse of Peladon,,Brian Hayles,Alan Willow,Carol Pub Group,1992-07-31,144,0426114981,9780426114987,0426114981,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51wFZL61XvL.jpg,,9B6AEC03-C0D7-4B68-BF19-A750B459F715
Doctor Who and the Curse of Peladon,,Brian Hayles,Alan Willow,Carol Pub Group,1992-07-31,144,0426114981,9780426114987,0426114981,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51wFZL61XvL.jpg,,7B37B9F8-9F12-4F58-9A5F-BD597372A6D6
Doctor Who and the Cybermen Who 14,,Gerry Davis,,Stoddart+publishing,1979-07-31,152,0426114639,9780426114635,0426114639,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/516KvwiFpIL.jpg,,0011DAE7-EDE6-4E6B-AC54-8EEAC411B935
Doctor Who and the Cybermen Who 14,,Gerry Davis,,Stoddart+publishing,1979-07-31,152,0426114639,9780426114635,0426114639,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/516KvwiFpIL.jpg,,780E8B9B-97E3-4156-9EF5-A18064BE3808
Doctor Who and the Daleks,(A Target book),David Whitaker,,Dr Who,1992-01-16,160,0426101103,9780426101109,0426101103,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51Y4zFC-GCL.jpg,,CD8102E3-1557-4342-9429-AA5019C77F45
Doctor Who and the Daleks,"(Doctor Who, Book 16)",David Whitaker,,Target / W. H. Allen,1973-03-01,160,0426101103,9780426101109,0426101103,"Literature & Fiction
Science Fiction & Fantasy","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51Y4zFC-GCL.jpg,,0D5D2987-9BA5-4721-99FD-F50ADA674BB6
Doctor Who and the Daleks,(A Target book),David Whitaker,,Dr Who,1992-01-16,160,0426101103,9780426101109,0426101103,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51Y4zFC-GCL.jpg,,96416719-6033-435B-A021-2FDC13945661
Doctor Who and the Destiny of the Daleks,,Terrance Dicks,,W.H. Allen / Virgin Books,1979-11-12,112,0491026404,9780491026406,0491026404,Science Fiction & Fantasy,"English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,,,8D12498F-2179-4492-9279-32ECCDDD5B21
Doctor Who and the Destiny of the Daleks,,Terrance Dicks,,W.H. Allen / Virgin Books,1979-11-12,112,0491026404,9780491026406,0491026404,Science Fiction & Fantasy,"English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,,,E77AF6BE-EBDF-4B68-BBC4-E4E3E5874E6B
Doctor Who and the Invisible Enemy,,Terrance Dicks,,Dr Who,1979-03-01,112,0426200543,9780426200543,0426200543,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51MjzG%2BZyoL.jpg,,1A842441-DB94-4BBB-9153-C26B101D9E04
Doctor Who and the Invisible Enemy,,Terrance Dicks,,Dr Who,1979-03-01,112,0426200543,9780426200543,0426200543,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,,http://ecx.images-amazon.com/images/I/51MjzG%2BZyoL.jpg,,4DCE1411-8A8A-499F-B6CE-31835CE13E8E
Doctor Who and the Planet of the Daleks,,Terrance Dicks,,Dr Who,1977-06-30,125,0426112520,9780426112525,0426112520,"Children's Books
Science Fiction","English (Unknown)
English (Original Language)
English (Published)",,,0.0,No,,,,,2013-12-15,http://ecx.images-amazon.com/images/I/51eYKuOacaL.jpg,,988FFBF9-E690-4B85-87F3-C36C83034F07
